The Donnas,Bitchin',565
The Donnas,Gold Medal,565
The Doors,L.A. Woman,567
The Doors,Morrison Hotel,567
The Doors,Strange Days,567
The Doors,The Doors,567
The Doors,The Soft Parade,567
The Doors,Waiting for the Sun,567
The Hives,Tyrannosaurus Hives,574
The Hives,Veni Vidi Vicious,574
The Hoodoo Kings,The Hoodoo Kings,576
The Hooters,Nervous Nights,577
The Isley Brothers,Twist and Shout,578
The J. Geils Band,Freeze Frame,579
The Kinks,Arthur Or The Decline And Fall Of The British Empire,580
The Kinks,Muswell Hillbillies,580
The Knickerbockers,Knickerbockerism!,581
The Lovin' Spoonful,Anthology,583
The Moody Blues,A Question of Balance,585
The Moody Blues,Days of Future Passed,585
The Moody Blues,In Search Of The Lost Chord,585
The Mother Truckers,"Broke, Not Broken",586
The Music Machine,Turn On,587
The Outsiders,Time Won't Let Me,590
The Presidents Of The United States Of America,The Presidents Of The United States Of America,593
The Ramones,Acid Eaters,595
The Ramones,Subterranean Jungle (Expanded & Remastered),595
The Rascals,Time Peace: The Rascals' Greatest Hits,596
The Raveonettes,Chain Gang Of Love,597
The Raveonettes,Whip It On,597
The Refreshments,The Bottle & Fresh Horses,598
Reverend Horton Heat,Smoke 'Em If You Got 'Em,600
The Rolling Stones,December's Children (And Everybody's),602
The Rolling Stones,Exile on Main St.,602
The Rolling Stones,Get Yer Ya-Ya's Out!,602
The Rolling Stones,Gimmee Shelter,602
The Rolling Stones,Got Live If You Want It!,602
The Rolling Stones,Out of Our Heads,602
The Rolling Stones,Sticky Fingers,602
The Runaways,The Best Of The Runaways,604
The Seeds,A Web Of Sound,606
Sex Pistols,Never Mind the Bollocks Here's the Sex Pistols,607
The Sonics,The Ultimate Sonics,608
The Sonics,This Is the Sonics,608
Standells,The Very Best Of The Standells,611
The Stone Coyotes,Church of the Falling Rain,612
The Stone Coyotes,Sally in the Doorway,612
The Stone Roses,Second Coming,613
Stone Temple Pilots,Purple,614
The Turtles,The Turtles 20 Greatest Hits,618
The Velvet Underground,Andy Warhol,621
The Wailers,The Fabulous Wailers at the Castle,622
The Walk Ons,We Did This On Purpose,623
The Wallflowers,Bringing Down the Horse,624
The White Stripes ,Elephant,625
The White Stripes ,The White Stripes,625
The Yardbirds,Shape Of Things - The Very Best Of,628
The Yardbirds,The Ultimate Collection Disc 1,628
The Youngbloods,The Youngbloods,629
The Zombies,The Zombies,630
Them,Here Comes The Night,631
Thin Lizzy,Jailbreak,632
Third Eye Blind,Third Eye Blind,633
Tina Turner,Private Dancer,636
Toadies,Rubberneck,637
Tom Petty,An American Treasure Disc 1,638
Tom Petty,Full Moon Fever,638
Tom Petty,An American Treasure Disc 3,638
Tom Petty,An American Treasure Disc 4,638
Tom Petty,Wildflowers,638
Traffic,John Barleycorn Must Die,644
Traffic,Mr. Fantasy,644
Traffic,The Low Spark Of High Heeled Boys,644
Traveling Wilburys,"The Traveling Wilburys, Vol. 1",647
Traveling Wilburys,"The Traveling Wilburys, Vol. 3",647
Trisha Yearwood,Everybody Knows,648
Valerie June,"Owls, Omens, and Oracles",665
Van Halen,Van Halen,666
Van Morrison,Moondance,667
Van Morrison,Tupelo Honey,667
Van Morrison,"Van Morrison Collection, Vol. 1",667
Velvet Revolver,Contraband,668
Vibeke,The World Famous Hat Trick,669
